"Id","State","City","Sight_Date"
"316","IN","Indianapolis",20161110
"317","ND","Lidgerwood",20161107
"318","AZ","San Tan Valley",20161025
"319","NC","Kannapolis/Mooresville",20161023
"320","UT","Park City",20161020
"321","NH","Nashua",20161015
"322","GA","Douglasville",20161012
"323","CA","San Diego",20161011
"324","PA","Elizabethtown",20161010
"325","OH","Marietta",20161008
"326","ME","Ellsworth",20161003
"327","FL","St. Augustine",20161001
"328","LA","Kenner",20161001
"329","CO","Aurora",20160928
"330","WA","Bellingham",20160925
"331","CA","Newport Beach",20160921
"332","NY","Cicero",20160921
"333","UT","Salt Lake City",20160920
"334","OR","Eugene",20160913
"335","MI","South Haven",20160912
"336","NC","Raleigh",20160908
"337","GA","Winder",20160907
"338","OH","Fairborn",20160907
"339","AZ","Tempe",20160830
"340","CA","Santa Rosa",20160828
"341","IL","Rantoul",20160824
"342","MI","Ann Arbor",20160822
"343","OR","Silverton",20160821
"344","FL","Vero Beach",20160819
"345","RI","Providence",20160816
"346","GA","Lawrenceville",20160811
"347","CT","Bridgeport",20160806
"348","ID","Boise",20160806
"349","TX","Austin",20160802
"350","FL","Jacksonville",20160801
"351","WI","St. Germain",20160730
"352","WV","Marlinton",20160730
"353","CA","Sacramento",20160727
"354","CA","Stockton",20160727
"355","CA","Tracy",20160727
"356","CA","Ventura",20160727
"357","UT","West Valley City",20160727
"358","CA","Palm Desert",20160723
"359","ME","Fairfield",20160717
"360","CO","Broomfield",20160715
"361","FL","Apopka",20160714
"362","NH","Rochester",20160710
"363","CO","Fort Collins",20160704
"364","FL","Viera",20160704
"365","IN","Indianapolis",20160704
"366","WA","Vancouver",20160704
"367","CA","Pacifica",20160630
"368","OH","Columbus",20160627
"369","GA","Atlanta",20160619
"370","NC","Mills River",20160618
"371","NY","West Babylon",20160617
"372","OH","Lancaster",20160615
"373","AZ","Phoenix",20160613
"374","NY","Flanders",20160608
"375","WA","Cliffdell",20160604
"376","ME","South Berwick",20160603
"377","FL","Port St. Lucie",20160529
"378","GA","Cumming",20160529
"379","WI","Madison",20160529
"380","WA","Seattle",20160520
"381","NY","Ronkonkoma",20160518
"382","CO","Greeley",20160509
"383","ID","Coeur d'Alene",20160506
"384","PA","Philadelphia",20160430
"385","LA","New Orleans",20160426
"386","AZ","Phoenix",20160423
"387","NM","Albuquerque",20160413
"388","KS","Ellsworth",20160412
"389","MT","Kalispell",20160401
"390","VA","Portsmouth",20160318
"391","SC","Myrtle Beach",20160315
"392","VA","Stafford",20160311
"393","TX","Dallas",20160305
"394","VT","West Topsham",20160303
"395","AZ","Phoenix",20160302
"396","FL","Ocala",20160301
"397","PA","Tannersville",20160228
"398","AZ","Chandler",20160226
"399","CO","Pueblo",20160219
"400","NC","Durham",20160205
"401","AZ","Tucson",20160204
"402","ID","Boise",20160202
"403","CT","West Suffield",20160131
"404","TN","Ten mile",20160131
"405","NY","Woodside",20160116
"406","IL","Antioch",20160114
"407","NM","Albuquerque",20160113
"408","CA","Sacramento",20160101
"409","WA","Bellingham",20151225
"410","AZ","Avondale",20151224
"411","AZ","Bullhead City",20151222
"412","AZ","Queen Creek",20151222
"413","NV","Las Vegas",20151222
"414","DE","Bear",20151220
"415","NC","Four Oaks",20151220
"416","MS","Madison",20151217
"417","OK","Elk City",20151214
"418","NC","Mooresville",20151213
"419","WI","Madison",20151210
"420","NM","Albuquerque",20151206
"421","TX","Flowermound",20151120
"422","NC","Charlotte",20151118
"423","AZ","Tucson",20151117
"424","NC","Boone",20151117
"425","AZ","Phoenix",20151115
"426","FL","Tampa",20151109
"427","KY","Louisville",20151108
"428","AZ","Tucson",20151107
"429","CA","Anaheim",20151107
"430","CA","Carlsbad",20151107
"431","CA","Corona",20151107
"432","CA","Cotati",20151107
"433","CA","Fairfield",20151107
"434","CA","Fresno",20151107
"435","CA","Indio",20151107
"436","CA","La Quinta",20151107
"437","CA","Los Angeles",20151107
"438","CA","Palmdale",20151107
"439","CA","Pasadena",20151107
"440","CA","Poway",20151107
"441","CA","Rialto",20151107
"442","CA","Sylmar",20151107
"443","CA","Turlock",20151107
"444","NV","Spring Creek",20151107
"445","NY","Batavia",20151107
"446","UT","Eagle Mountain",20151107
"447","CA","San Rafael",20151104
"448","CO","Arvada",20151101
"449","NH","Dover",20151101
"450","MI","Detroit",20151031
"451","WA","Redmond",20151017
"452","CO","Fort Collins",20151016
"453","TX","San Antonio",20151014
"454","OR","Albany",20151013
"455","KY","Taylorsville",20151007
"456","MI","Warren",20150927
"457","RI","Pawtucket",20150926
"458","NH","Manchester",20150925
"459","CA","Roseville",20150919
"460","NY","New York City (Brooklyn)",20150918
"461","CA","Roseville",20150915
"462","PA","Hanover",20150906
"463","PA","Sharon",20150906
"464","NY","Forestburgh",20150903
"465","FL","Weston",20150902
"466","MT","Billings",20150902
"467","NY","Syracuse",20150830
"468","NH","Nashua",20150829
"469","TN","Nashville",20150826
"470","GA","Calhoun",20150825
"471","ME","York",20150819
"472","FL","Fort Myers",20150815
"473","NJ","Woodbridge",20150815
"474","TN","Johnson City",20150810
"475","MN","Minnetonka",20150809
"476","AZ","Tempe",20150801
"477","NJ","Wildwood Crest",20150722
"478","NC","Hendersonville",20150720
"479","MN","Northfield",20150715
"480","AZ","Tucson",20150713
"481","VA","Hampton",20150711
"482","GA","Marietta",20150710
"483","NY","Mastic Beach",20150710
"484","AZ","Tempe",20150704
"485","FL","Vero Beach",20150704
"486","IL","Chicago",20150704
"487","NC","Greensboro",20150704
"488","NM","Albuquerque",20150704
"489","OH","Sandusky",20150704
"490","OH","Strasburg",20150704
"491","VA","Leesburg",20150704
"492","WA","Seattle",20150704
"493","OH","Columbus",20150703
"494","OH","Youngstown",20150629
"495","NY","Forest Hills",20150623
"496","SC","Goose Creek",20150619
"497","CA","Bakersfield",20150617
"498","OR","North Plains",20150614
"499","FL","Kissimmee",20150608
"500","FL","Orlando",20150608
"501","IL","Chicago",20150605
"502","SC","Rock Hill",20150530
"503","CA","Visalia",20150524
"504","FL","Indian Lake",20150518
"505","VA","Amissville/Rixeyville",20150517
"506","NV","Henderson",20150516
"507","AZ","Prescott Valley",20150512
"508","NC","Graham",20150512
"509","FL","Port Richey",20150508
"510","FL","Holiday",20150501
"511","CA","Kelseyville",20150422
"512","FL","Tampa",20150417
"513","CA","Corona",20150416
"514","NH","Dalton",20150414
"515","VA","Portsmouth",20150412
"516","SC","Simpsonville",20150411
"517","MI","Lansing",20150320
"518","MD","Baltimore",20150312
"519","WA","Walla Walla",20150312
"520","PA","Easton",20150311
"521","AK","Fairbanks",20150308
"522","AZ","Peoria",20150306
"523","CT","Middletown",20150306
"524","MN","Stillwater",20150305
"525","VA","Portsmouth",20150228
"526","WA","Maple Falls",20150224
"527","ID","Boise",20150223
"528","FL","Deltona",20150220
"529","OR","Hillsboro",20150215
"530","CO","Fort Collins",20150212
"531","AZ","Phoenix",20150211
"532","NV","Las Vegas",20150210
"533","FL","Cape Coral",20150208
"534","NV","Las Vegas",20150204
"535","CA","San Jose",20150201
"536","FL","Jacksonville",20150125
"537","WA","Anacortes",20150124
"538","MT","Gallatin Gateway",20150113
"539","TN","Murfreesboro",20150111
"540","CT","Torrington",20150109
"541","FL","Orlando",20150109
"542","AZ","Phoenix",20150106
"543","CA","Fort Bragg",20150103
"544","TX","Hughes Springs",20150103
"545","CA","Oakland",20150101
"546","MD","Pasadena",20141231
"547","WA","East Wenatchee",20141225
"548","TN","Spring Hill",20141224
"549","IN","Middletown",20141220
"550","CO","Lakewood",20141219
"551","NY","Staten Island",20141218
"552","WI","West Allis",20141205
"553","MI","Detroit",20141122
"554","DE","Millsboro",20141121
"555","AZ","Mesa",20141115
"556","SD","Huron",20141113
"557","PA","Pittsburgh",20141111
"558","NC","Matthews",20141102
"559","MS","Bay Saint Louis",20141029
"560","NC","Old Fort/Morganton (between)",20141026
"561","SC","Little River",20141022
"562","SC","Myrtle Beach",20141022
"563","SC","Myrtle Beach",20141020
"564","FL","Orlando",20141018
"565","FL","Jupiter",20141017
"566","CO","Denver",20141014
"567","NY","Parishville",20141014
"568","DE","Wilmington",20141012
"569","IL","Chicago",20141009
"570","WA","Goldendale",20141008
"571","CA","Fresno",20141005
"572","FL","Jacksonville",20141005
"573","OR","Portland",20141004
"574","AZ","Phoenix",20140929
"575","CA","Hollister",20140927
"576","VA","Manassas",20140927
"577","MA","Centerville",20140926
"578","CO","Pueblo",20140925
"579","NM","Clovis",20140925
"580","AL","Valley",20140917
"581","WI","Evansville",20140917
"582","IN","Fort Wayne",20140916
"583","NE","Omaha",20140916
"584","NE","Neligh",20140904
"585","NC","Gastonia",20140903
"586","NC","Nags Head",20140903
"587","OH","Dayton",20140831
"588","WI","Mukwonago",20140830
"589","DE","South Bethany Beach",20140827
"590","CA","Sacramento",20140824
"591","NC","Holden Beach",20140821
"592","SC","Myrtle Beach",20140819
"593","SC","North Myrtle Beach",20140819
"594","KS","Luray",20140817
"595","WA","Seattle",20140816
"596","TX","Austin",20140815
"597","WI","Kaukauna",20140808
"598","OR","Oregon City",20140807
"599","WA","Spokane",20140802
"600","VA","Newport News",20140731
"601","WI","Green Bay",20140725
"602","SC","North Myrtle Beach",20140716
"603","LA","Shreveport",20140714
"604","AZ","Lake Havasu City",20140713
"605","TX","Montgomery",20140712
"606","NH","Lincoln",20140709
"607","IL","Carol Stream",20140708
"608","GA","Suwanee",20140705
"609","NH","Nashua",20140705
"610","TX","Corpus Christi",20140705
"611","WA","Harrington",20140705
"612","CO","Arvada",20140704
"613","FL","St. Petersburg",20140704
"614","GA","Hampton",20140704
"615","IL","Chicago",20140704
"616","IN","Evansville",20140704
"617","IN","Portage",20140704
"618","MN","Minneapolis",20140704
"619","NC","Charlotte",20140704
"620","OH","Upper Arlington",20140704
"621","PA","Downingtown",20140704
"622","TX","Katy",20140704
"623","TX","Mesquite",20140704
"624","OH","Columbus",20140703
"625","AZ","Chandler",20140626
"626","OR","Myrtle Creek",20140626
"627","SC","Litchfield Beach",20140626
"628","SC","Garden City",20140625
"629","SC","North Myrtle Beach",20140625
"630","SC","Myrtle Beach",20140623
"631","SC","Pawleys Island",20140623
"632","FL","Deltona",20140622
"633","NV","Las Vegas",20140622
"634","CO","Denver",20140619
"635","NJ","Cherry Hill",20140615
"636","NJ","Newton",20140615
"637","MO","Hermann",20140614
"638","MO","Holts Summit",20140614
"639","MO","St. Louis",20140614
"640","AZ","Mesa",20140612
"641","NJ","Manville",20140607
"642","VA","Portsmouth",20140607
"643","WA","Sedro Woolley",20140607
"644","OH","Springfield",20140606
"645","RI","Providence",20140606
"646","CA","Grass Valley",20140526
"647","WI","Mukwonago",20140524
"648","FL","Altamonte Springs",20140519
"649","TN","Jefferson City",20140510
"650","AL","Dauphin Island",20140508
"651","NC","Waxhaw",20140503
"652","NJ","Sparta",20140427
"653","OH","Cincinnati",20140426
"654","AL","Dauphin Island",20140423
"655","NV","Las Vegas",20140420
"656","WA","Seattle",20140420
"657","OH","Atwater",20140419
"658","ID","Oakley",20140415
"659","FL","Orlando",20140413
"660","IA","Cedar Rapids",20140412
"661","NM","Las Cruces",20140412
"662","WI","Dexterville",20140411
"663","AZ","Phoenix",20140410
"664","CA","Santa Rosa",20140410
"665","NM","Hobbs",20140405
"666","TX","San Antonio",20140405
"667","FL","Port St. Lucie",20140322
"668","AZ","Maricopa",20140321
"669","GA","Augusta",20140319
"670","CA","Orangevale",20140315
"671","FL","Sunrise",20140311
"672","FL","Boynton Beach",20140307
"673","MA","Medford",20140305
"674","CA","Turlock",20140304
"675","FL","Wellington",20140303
